City,Region,Country,Code,Year,Total Population,Served Population,Water Length,Percent Served
St.Petersburg,Europe,Russia,20064,2015,5225690.0,5225690.0,7131.9,1.0
Stavropol,Europe,Russia,20065,2015,429800.0,429800.0,861.2,1.0
Syktyvkar,Europe,Russia,20066,2015,243540.0,243540.0,413.4,1.0
Tambov,Europe,Russia,20067,2015,341683.0,341683.0,717.3,1.0
Tomsk,Europe,Russia,20068,2015,569290.0,569290.0,889.8,1.0
Tula,Europe,Russia,20069,2015,487800.0,409900.0,1085.0,0.8403034030340304
Tver,Europe,Russia,20071,2015,416440.0,416440.0,770.0,1.0
Tyumen,Europe,Russia,20072,2015,720580.0,720580.0,1002.7,1.0
Ufa,Europe,Russia,20073,2015,1110980.0,1110980.0,1764.7,1.0
Ulan-Ude,Europe,Russia,20074,2015,567300.0,567300.0,716.3,1.0
Ulyanovsk,Europe,Russia,20075,2015,629647.0,629647.0,1537.6,1.0
Vladikavkaz,Europe,Russia,20077,2015,307480.0,307480.0,696.8,1.0
Vladimir,Europe,Russia,20078,2015,354830.0,354830.0,900.3,1.0
Vladivostok,Europe,Russia,20079,2015,606650.0,606650.0,875.0,1.0
Volgograd,Europe,Russia,20080,2015,1016140.0,1016140.0,2279.4,1.0
Vologda,Europe,Russia,20081,2015,312690.0,312690.0,693.1,1.0
Voronezh,Europe,Russia,20082,2015,1032380.0,1032380.0,1603.5,1.0
Yakutsk,Europe,Russia,20083,2015,303840.0,303840.0,146.6,1.0
Yaroslavl,Europe,Russia,20084,2015,606700.0,606700.0,1086.5,1.0
Yoshkar-Ola,Europe,Russia,20085,2015,265040.0,265040.0,471.7,1.0
Yuzhno-Sakhalinsk,Europe,Russia,20086,2015,193670.0,193670.0,407.1,1.0
Novomoskovsk,Europe,Ukraine,UA9,2015,75300.0,62125.0,1636.0,0.8250332005312085
Chernigiv,Europe,Ukraine,UA18,2015,297865.0,272073.0,547.93,0.9134104376143555
Symferopol,Europe,Ukraine,UA23,2015,395300.0,395300.0,878.8,1.0
Rivne,Europe,Ukraine,UA90,2015,293030.0,226618.0,639.2,0.773361089308262
Baranovichy ,Europe,Belarus,BY6,2015,179122.0,177264.0,412.0,0.9896271814740791
Brest,Europe,Belarus,BY7,2015,340100.0,332060.0,697.0,0.9763598941487798
Mogilev,Europe,Belarus,BY10,2015,359000.0,346000.0,822.8,0.9637883008356546
Koprivnica,Europe,Croatia,CR006,2015,51668.0,40194.0,567.0,0.7779283115274445
Negotino,Europe,North Macedonia,MC1,2015,17406.0,17406.0,67.0,1.0
Ohrid/Struga,Europe,North Macedonia,MC2,2015,55749.0,53000.0,279.5,0.9506896984699277
Radovis,Europe,North Macedonia,MC3,2015,28212.0,25706.0,46.0,0.9111725506876507
Resen,Europe,North Macedonia,MC4,2015,16825.0,12500.0,61.0,0.7429420505200595
Skopje,Europe,North Macedonia,MC5,2015,621152.0,621152.0,1116.0,1.0
Stip,Europe,North Macedonia,MC6,2015,47798.0,45200.0,130.0,0.9456462613498473
Derven Veles,Europe,North Macedonia,MC8,2015,50000.0,50000.0,112.33,1.0
Berovo,Europe,North Macedonia,MC9,2015,12714.0,12714.0,77.0,1.0
Bitola,Europe,North Macedonia,MC10,2015,107496.0,91156.0,318.4,0.8479943439755898
Gostivar,Europe,North Macedonia,MC12,2015,67240.0,53792.0,45.0,0.8
Kavadarci,Europe,North Macedonia,MC13,2015,38741.0,38300.0,120.0,0.9886167109780336
Ko?ani,Europe,North Macedonia,MC14,2015,38494.0,37149.0,149.1,0.9650594897906167
Kumanovo,Europe,North Macedonia,MC15,2015,115000.0,95000.0,162.0,0.8260869565217391
Grozny,Europe,Russia,RU001,2015,583020.0,583020.0,2188.0,1.0
Ouagadougou,Africa,Burkina Faso,105,2015,4859103.0,4309463.0,9071.0,0.8868844722986938
Shklov,Europe,Belarus,BY17,2015,27900.0,19900.0,442.9,0.7132616487455197
Polotsk,Europe,Belarus,BY19,2015,110000.0,89000.0,265.5,0.8090909090909091
Bobruisk,Europe,Belarus,BY20,2015,218263.0,218260.0,496.97,0.9999862551142429
Anenii Noi,Europe,Moldova,MD1,2015,16600.0,11100.0,69.9,0.6686746987951807
Basarabeasca,Europe,Moldova,MD3,2015,12500.0,7000.0,34.6,0.56
Briceni,Europe,Moldova,MD4,2015,9000.0,6200.0,47.1,0.6888888888888889
Cahul,Europe,Moldova,MD5,2015,48600.0,43900.0,103.6,0.9032921810699589
Cantemir,Europe,Moldova,MD6,2015,5800.0,3900.0,23.0,0.6724137931034483
Caralas,Europe,Moldova,MD7,2015,16600.0,12500.0,64.0,0.7530120481927711
Cainari,Europe,Moldova,MD8,2015,19900.0,14500.0,94.2,0.7286432160804021
Chi?in?u,Europe,Moldova,MD10,2015,796000.0,716500.0,1910.3,0.9001256281407035
Ceadir-Lunga,Europe,Moldova,MD11,2015,22900.0,19300.0,160.5,0.8427947598253275
Comrat,Europe,Moldova,MD13,2015,26200.0,20000.0,122.0,0.7633587786259542
Cricova,Europe,Moldova,MD14,2015,8800.0,6000.0,22.9,0.6818181818181818
Criuleni,Europe,Moldova,MD15,2015,9700.0,6700.0,53.0,0.6907216494845361
Donduseni,Europe,Moldova,MD16,2015,10450.0,4500.0,40.9,0.430622009569378
Drochia,Europe,Moldova,MD17,2015,20500.0,13400.0,70.5,0.6536585365853659
Edineti,Europe,Moldova,MD18,2015,29500.0,20100.0,118.2,0.6813559322033899
Aukland,Western Pacific,New Zealand,NZ001,2015,1415550.0,1336530.0,9066.0,0.9441771749496662
Fale?ti,Europe,Moldova,MD19,2015,16900.0,10500.0,41.9,0.621301775147929
Floreni,Europe,Moldova,MD20,2015,4000.0,3900.0,14.0,0.975
Flore?ti,Europe,Moldova,MD21,2015,33700.0,23400.0,263.9,0.6943620178041543
Glodeni,Europe,Moldova,MD22,2015,11650.0,8600.0,34.9,0.7381974248927039
Hince?ti,Europe,Moldova,MD23,2015,28700.0,12240.0,121.8,0.4264808362369338
Leova,Europe,Moldova,MD24,2015,10850.0,10480.0,41.6,0.9658986175115207
Lipcani,Europe,Moldova,MD25,2015,5400.0,2300.0,29.2,0.42592592592592593
Nisporeni,Europe,Moldova,MD26,2015,14400.0,3800.0,19.5,0.2638888888888889
Ocnita,Europe,Moldova,MD27,2015,9400.0,4500.0,35.4,0.4787234042553192
Orhei,Europe,Moldova,MD28,2015,33700.0,28600.0,292.0,0.8486646884272997
Otaci,Europe,Moldova,MD29,2015,8400.0,3600.0,16.6,0.42857142857142855
Resina,Europe,Moldova,MD30,2015,15200.0,10200.0,35.0,0.6710526315789473
Riscani,Europe,Moldova,MD31,2015,14300.0,6100.0,58.1,0.42657342657342656
Sinjerei,Europe,Moldova,MD32,2015,15500.0,11800.0,50.5,0.7612903225806451
?old?ne?ti,Europe,Moldova,MD33,2015,7500.0,3800.0,30.6,0.5066666666666667
Soroca,Europe,Moldova,MD34,2015,37600.0,34000.0,75.3,0.9042553191489362
Stefan-Vod?,Europe,Moldova,MD36,2015,8550.0,6800.0,45.8,0.7953216374269005
Stra?eni,Europe,Moldova,MD37,2015,20700.0,14600.0,82.0,0.7053140096618358
Taraclia,Europe,Moldova,MD38,2015,14900.0,11500.0,57.8,0.7718120805369127
Telene?ti,Europe,Moldova,MD39,2015,9900.0,3130.0,23.2,0.31616161616161614
Ungheni,Europe,Moldova,MD40,2015,38400.0,32100.0,136.0,0.8359375
Vulcane?ti,Europe,Moldova,MD41,2015,17000.0,8900.0,46.0,0.5235294117647059
Vientiane,Western Pacific,Lao PDR,LA1,2015,766449.0,512317.0,1858.34,0.6684293410259522
Kasama,Africa,Zambia,ZM2,2015,331308.0,244340.0,1751.0,0.7375010564188006
Ndola,Africa,Zambia,200-2,2015,630530.0,604288.0,1102.0,0.9583810445181038
Solwezi,Africa,Zambia,200-3,2015,255979.0,218639.0,1010.0,0.8541286589915579
Choma,Africa,Zambia,200-4,2015,396335.0,357889.0,2004.0,0.9029962027073057
Mongu,Africa,Zambia,200-1,2015,204185.0,102512.0,194.0,0.5020545093909935
Kabwe,Africa,Zambia,ZM3,2015,419082.0,303777.0,1014.0,0.7248629146563202
Gantsevichy,Europe,Belarus,BY29,2015,26212.0,18900.0,123.1,0.7210437967343202
Glubokoe,Europe,Belarus,BY30,2015,29900.0,23300.0,186.9,0.7792642140468228
Gorodok,Europe,Belarus,BY31,2015,19800.0,15900.0,188.1,0.803030303030303
Berezino  ,Europe,Belarus,BY24,2015,22600.0,22600.0,196.51,1.0
Sofia,Europe,Bulgaria,BG1,2015,1319804.0,1319804.0,3827.0,1.0
